Home,ML,Puck Line,PL,Line Mvmt,net_goals
0,129,1.5,-230,11,-5
1,-149,-1.5,195,-11,-7
0,160,1.5,-170,20,-4
1,-190,-1.5,145,-20,5
0,116,1.5,-265,4,3
1,-136,-1.5,220,-4,-2
0,104,1.5,-285,-234,6
1,-124,-1.5,235,234,2
0,155,1.5,-190,-5,-6
1,-175,-1.5,161,5,-11
0,190,1.5,-140,-20,-8
1,-230,-1.5,120,30,6
0,-145,-1.5,210,0,7
1,125,1.5,-250,0,-13
